model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,direction,sign,epsilon,rho,abs_delta_entropy,abs_delta_varentropy,directional_success,selected_top1_changed,top5_jaccard,full_vocab_top5_jaccard,full_vocab_top10_jaccard,selected_kl_before_after,candidate_set_kl,candidate_mass_retention_ratio,cluster_distribution_l1,embedding_centroid_delta_norm
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,random_control,increase,0.05,0.6673225251899265,0.0050907923467811,0.0184802752912339,1,0,1.0,1.0,1.0,0.0012765170429016,0.0012765170164411,0.9958242574011584,0.0194483374296182,0.0194899171165157
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,random_control,decrease,0.05,0.6673225251899265,0.0079070814408748,0.02421103096711,1,0,1.0,1.0,0.8181818181818182,0.0012234488183473,0.0012234489383501,1.0050247198143174,0.0177573599907762,0.0182159035244054
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,accessible_ls,increase,0.05,0.604951057454969,0.0256558016262742,0.0617041955257351,1,0,1.0,1.0,1.0,0.0012734414773167,0.0012734417498214,1.0114422148897797,0.022345401455719,0.020375997342404
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,accessible_ls,decrease,0.05,0.604951057454969,0.0279056792013019,0.0655692330870502,1,0,1.0,1.0,0.8181818181818182,0.0012230669322649,0.0012230664526663,0.9799752206305424,0.0223680140858872,0.0200808145756008
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,grad_orthogonal_control,increase,0.05,0.604951057454969,0.0008741660279274,0.0096515515295204,0,0,1.0,1.0,0.8181818181818182,0.0012376248153361,0.0012376239166484,0.9884397213343288,0.01718215075394,0.0144910509582941
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,grad_orthogonal_control,decrease,0.05,0.604951057454969,0.000933818352566,0.0078504071115266,1,0,1.0,1.0,0.8181818181818182,0.0012612723597849,0.0012612717256624,1.0099853856989314,0.0178701295446258,0.0151617969745305
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,random_control,increase,0.05,0.604951057454969,0.018508620639007,0.0479869279861305,1,0,1.0,1.0,1.0,0.0012532022701037,0.0012532023833746,1.0002531573111684,0.0195555336774132,0.0196741751304893
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,random_control,decrease,0.05,0.604951057454969,0.0215491222824844,0.0546721732776293,1,0,1.0,1.0,0.8181818181818182,0.0012453774723882,0.0012453782149937,0.998396291714586,0.02068801506382,0.0197492694709623
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,accessible_ls,increase,0.05,0.3713398504493843,0.0212735469346685,0.059168273529833,1,0,1.0,1.0,0.8181818181818182,0.00123580609563,0.0012358056773276,0.9938445462757768,0.0199858461912416,0.0156301024417316
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,accessible_ls,decrease,0.05,0.3713398504493843,0.0245087384221949,0.0662058830394071,1,0,1.0,1.0,0.8181818181818182,0.0012630782825447,0.0012630780949093,1.0060886029826892,0.0205276974360814,0.0160939286509448
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,grad_orthogonal_control,increase,0.05,0.3713398504493843,0.000808333448377,0.0054932641838468,0,0,1.0,1.0,1.0,0.0012588563803758,0.0012588562532457,0.998776807572498,0.0048705299580813,0.0109237370225541
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,grad_orthogonal_control,decrease,0.05,0.3713398504493843,0.0008059797082826,0.0040939157532953,1,0,1.0,1.0,0.8181818181818182,0.0012412441491014,0.0012412443470953,0.9994327301232206,0.0062301969253793,0.0109172875856975
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,random_control,increase,0.05,0.3713398504493843,0.0021606870971626,0.0134794821604337,1,0,1.0,1.0,0.8181818181818182,0.0012721761098852,0.0012721759414349,0.9879694535938796,0.0121910606233157,0.0127933390929049
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,random_control,decrease,0.05,0.3713398504493843,0.004382185337231,0.0170539799018307,1,0,1.0,1.0,1.0,0.0012271537686745,0.0012271535600342,1.009535388121347,0.011171130172539,0.0123536445902134
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,32,accessible_ls,increase,0.05,0.4190480269631012,0.0229234437372976,0.0639689424381158,1,0,1.0,1.0,0.8181818181818182,0.0012646554865126,0.0012646544869201,0.972062867276698,0.0121101293070033,0.0148750425508383
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,32,accessible_ls,decrease,0.05,0.4190480269631012,0.0256115091150621,0.0692745087281514,1,0,1.0,1.0,0.8181818181818182,0.0012334226800248,0.0012334229711953,1.0251971881710318,0.0129458577561546,0.0148412341073532
